Driver,Team,LapNumber,Stint,Compound,TyreLife,FreshTyre,TrackStatus,LapTime_s,Year,GrandPrix,SessionType,compound_encoded,is_fresh_tyre,tyre_life_squared,stint_progress,deg_rate
PER,Red Bull Racing,24.0,2.0,SOFT,9.0,False,1,97.352,2023,Bahrain Grand Prix,R,0,0,81.0,0.5,0.02645357142857086
PER,Red Bull Racing,25.0,2.0,SOFT,10.0,False,1,98.418,2023,Bahrain Grand Prix,R,0,0,100.0,0.5555555555555556,0.02645357142857086
PER,Red Bull Racing,26.0,2.0,SOFT,11.0,False,1,97.454,2023,Bahrain Grand Prix,R,0,0,121.0,0.6111111111111112,0.02645357142857086
PER,Red Bull Racing,27.0,2.0,SOFT,12.0,False,1,97.387,2023,Bahrain Grand Prix,R,0,0,144.0,0.6666666666666666,0.02645357142857086
PER,Red Bull Racing,28.0,2.0,SOFT,13.0,False,1,97.211,2023,Bahrain Grand Prix,R,0,0,169.0,0.7222222222222222,0.02645357142857086
PER,Red Bull Racing,29.0,2.0,SOFT,14.0,False,1,97.733,2023,Bahrain Grand Prix,R,0,0,196.0,0.7777777777777778,0.02645357142857086
PER,Red Bull Racing,30.0,2.0,SOFT,15.0,False,1,97.4,2023,Bahrain Grand Prix,R,0,0,225.0,0.8333333333333334,0.02645357142857086
PER,Red Bull Racing,31.0,2.0,SOFT,16.0,False,1,97.919,2023,Bahrain Grand Prix,R,0,0,256.0,0.8888888888888888,0.02645357142857086
PER,Red Bull Racing,32.0,2.0,SOFT,17.0,False,1,97.722,2023,Bahrain Grand Prix,R,0,0,289.0,0.9444444444444444,0.02645357142857086
PER,Red Bull Racing,33.0,2.0,SOFT,18.0,False,1,97.869,2023,Bahrain Grand Prix,R,0,0,324.0,1.0,0.02645357142857086
PER,Red Bull Racing,36.0,3.0,HARD,2.0,True,1,96.82,2023,Bahrain Grand Prix,R,2,1,4.0,0.08695652173913043,0.022128915662651925
PER,Red Bull Racing,37.0,3.0,HARD,3.0,True,1,96.344,2023,Bahrain Grand Prix,R,2,1,9.0,0.13043478260869565,0.022128915662651925
PER,Red Bull Racing,38.0,3.0,HARD,4.0,True,1,96.431,2023,Bahrain Grand Prix,R,2,1,16.0,0.17391304347826086,0.022128915662651925
PER,Red Bull Racing,39.0,3.0,HARD,5.0,True,1,96.429,2023,Bahrain Grand Prix,R,2,1,25.0,0.21739130434782608,0.022128915662651925
PER,Red Bull Racing,40.0,3.0,HARD,6.0,True,1,97.114,2023,Bahrain Grand Prix,R,2,1,36.0,0.2608695652173913,0.022128915662651925
PER,Red Bull Racing,43.0,3.0,HARD,9.0,True,1,96.554,2023,Bahrain Grand Prix,R,2,1,81.0,0.391304347826087,0.022128915662651925
PER,Red Bull Racing,44.0,3.0,HARD,10.0,True,1,96.978,2023,Bahrain Grand Prix,R,2,1,100.0,0.43478260869565216,0.022128915662651925
PER,Red Bull Racing,45.0,3.0,HARD,11.0,True,1,96.928,2023,Bahrain Grand Prix,R,2,1,121.0,0.4782608695652174,0.022128915662651925
PER,Red Bull Racing,46.0,3.0,HARD,12.0,True,1,97.257,2023,Bahrain Grand Prix,R,2,1,144.0,0.5217391304347826,0.022128915662651925
PER,Red Bull Racing,47.0,3.0,HARD,13.0,True,1,96.661,2023,Bahrain Grand Prix,R,2,1,169.0,0.5652173913043478,0.022128915662651925
PER,Red Bull Racing,48.0,3.0,HARD,14.0,True,1,96.859,2023,Bahrain Grand Prix,R,2,1,196.0,0.6086956521739131,0.022128915662651925
PER,Red Bull Racing,49.0,3.0,HARD,15.0,True,1,97.049,2023,Bahrain Grand Prix,R,2,1,225.0,0.6521739130434783,0.022128915662651925
PER,Red Bull Racing,50.0,3.0,HARD,16.0,True,1,97.731,2023,Bahrain Grand Prix,R,2,1,256.0,0.6956521739130435,0.022128915662651925
PER,Red Bull Racing,51.0,3.0,HARD,17.0,True,1,97.049,2023,Bahrain Grand Prix,R,2,1,289.0,0.7391304347826086,0.022128915662651925
PER,Red Bull Racing,52.0,3.0,HARD,18.0,True,1,97.062,2023,Bahrain Grand Prix,R,2,1,324.0,0.782608695652174,0.022128915662651925
PER,Red Bull Racing,53.0,3.0,HARD,19.0,True,1,97.345,2023,Bahrain Grand Prix,R,2,1,361.0,0.8260869565217391,0.022128915662651925
PER,Red Bull Racing,54.0,3.0,HARD,20.0,True,1,97.296,2023,Bahrain Grand Prix,R,2,1,400.0,0.8695652173913043,0.022128915662651925
PER,Red Bull Racing,55.0,3.0,HARD,21.0,True,1,97.092,2023,Bahrain Grand Prix,R,2,1,441.0,0.9130434782608695,0.022128915662651925
PER,Red Bull Racing,56.0,3.0,HARD,22.0,True,1,96.565,2023,Bahrain Grand Prix,R,2,1,484.0,0.9565217391304348,0.022128915662651925
PER,Red Bull Racing,57.0,3.0,HARD,23.0,True,1,96.558,2023,Bahrain Grand Prix,R,2,1,529.0,1.0,0.022128915662651925
ALO,Aston Martin,2.0,1.0,SOFT,5.0,False,21,99.792,2023,Bahrain Grand Prix,R,0,0,25.0,0.3125,0.13453146853146905
ALO,Aston Martin,3.0,1.0,SOFT,6.0,False,1,99.1,2023,Bahrain Grand Prix,R,0,0,36.0,0.375,0.13453146853146905
ALO,Aston Martin,4.0,1.0,SOFT,7.0,False,1,99.548,2023,Bahrain Grand Prix,R,0,0,49.0,0.4375,0.13453146853146905
ALO,Aston Martin,5.0,1.0,SOFT,8.0,False,1,99.662,2023,Bahrain Grand Prix,R,0,0,64.0,0.5,0.13453146853146905
ALO,Aston Martin,6.0,1.0,SOFT,9.0,False,1,99.674,2023,Bahrain Grand Prix,R,0,0,81.0,0.5625,0.13453146853146905
ALO,Aston Martin,7.0,1.0,SOFT,10.0,False,1,99.729,2023,Bahrain Grand Prix,R,0,0,100.0,0.625,0.13453146853146905
ALO,Aston Martin,8.0,1.0,SOFT,11.0,False,1,99.959,2023,Bahrain Grand Prix,R,0,0,121.0,0.6875,0.13453146853146905
ALO,Aston Martin,9.0,1.0,SOFT,12.0,False,1,100.275,2023,Bahrain Grand Prix,R,0,0,144.0,0.75,0.13453146853146905
ALO,Aston Martin,10.0,1.0,SOFT,13.0,False,1,100.203,2023,Bahrain Grand Prix,R,0,0,169.0,0.8125,0.13453146853146905
ALO,Aston Martin,11.0,1.0,SOFT,14.0,False,1,101.147,2023,Bahrain Grand Prix,R,0,0,196.0,0.875,0.13453146853146905
ALO,Aston Martin,12.0,1.0,SOFT,15.0,False,1,100.934,2023,Bahrain Grand Prix,R,0,0,225.0,0.9375,0.13453146853146905
